Year,Region,Agency Name,City,County,State,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Primary Cause of Rescue - Others,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Total,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found Persons,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
2022,Southwest,Los Angeles County Lifeguards - Lakes,Los Angeles County Lifeguards,Los Angeles County,California,"407,571",195,0,0,0,0,,0,361,"1,444","5,415,000","4,865","19,460","72,975,000","68,360",281,94,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"71,161","30,191","15,000",26,0,65,7,350,2,41,27,103,690,Lake,Year Round,5,10,50,17,5,12,0,244
2021,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,800,12,0,0,0,0,12,0,0,0,0,2,0,0,28,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,110,0,0,0,0,6,200,0,0,2,8,0,Lake,Seasonal,2,1,25,2,2,0,0,4
2020,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"Ocean, Lake",Seasonal,0,1,25,0,0,0,0,0
2019,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"2,200",6,0,6,0,0,,0,0,0,0,2,4,"1,000",64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,22,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"3,000",9,0,0,0,0,,0,0,0,0,12,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"1,500",6,0,6,0,0,,0,0,0,0,0,0,0,36,23,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,58,12,0,0,2,0,0,1,0,1,4,-,Ocean & Lake,Seasonal,2,4,50,1,0,0,2,2
2016,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"1,500",6,0,6,0,0,,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,0,0,6,12,-,Ocean & Lake,Seasonal,2,2,250,1,0,0,1,1
2015,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,11,0,0,0,0,,0,0,0,0,0,0,0,9,105,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,3,0,0,0,0,,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"140,000",74,22,36,16,0,,0,0,0,0,0,0,0,"110,000",120,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"110,650",15,10,5,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"129,545",67,10,43,14,0,,0,0,0,0,0,0,0,"100,000",96,10,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,800,800,0,0,0,0,125,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
